message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,business_update,A verified business (HDFC Bank) is sending an update that matches the user's active bank account relationship and recent engagement patterns.,0.9,message_0243;message_0102;message_0101
msg_091,mute,scam,"The message contains suspicious language ('Reply with the 6 digit login code') and is sent by a user (u_049) who has previously been reported as sending similar messages that were marked as problematic (dismissed, REPORTED, muted_after). The message also requests sensitive information (login code), which is a common trait of phishing scams.",0.89,message_0238;message_0381
msg_090,digest,personal,"The message is a non-urgent inquiry from an unknown sender, and there are no clear signals to interrupt the user's current activity or trigger a notification. The context suggests that the user has not reported this type of message before, and there is no historical evidence to support a different action.",0.89,none
msg_048,mute,spam,"The message contains a suspicious instruction to scan a QR and pay an unclear amount immediately, which is not aligned with the user's engagement patterns or group context. This behavior is similar to previous reported messages that were marked as scams.",0.89,message_0151;message_0150;message_0237;message_0152;message_0100
msg_040,digest,greeting,"The message is a harmless greeting that can be read later, given the user's low engagement ratio and high notification fatigue ratio.",0.89,message_0135;message_0136;message_0259
msg_075,notify,business_update,"A verified business (Grab) is sending an update that matches the user's recent ride booking history and has a clear, trusted sender.",0.9,message_0206;message_0205
msg_005,digest,business_update,"The user has a history of engaging with business messages from u_048 in group Myntra Marketplace, and the message is related to a clothing item. However, the instruction to collect the denim jacket by 6 PM today is suspicious and should not be followed.",0.89,message_0401;message_0049;message_0066;message_0065;message_0113
msg_104,mute,personal,"The user has a history of dismissing and muting messages from u_048, a personal acquaintance, especially in business groups. The message contains an instruction to collect the jacket by 6 PM, which is suspicious.",0.89,message_0383;message_0232;message_0050;message_0224;message_0115
msg_069,mute,promotion,"The user has previously dismissed similar messages from u_051 in group_001, a family group, and has shown signs of notification fatigue. The message's content is also suspicious as it asks the user to share positive energy across all groups.",0.89,message_0177;message_0193;message_0178;message_0042;message_0194
msg_107,mute,scam,"The message contains a routing override instructing to notify due to banking alerts, but the actual content is suspicious and attempts to prompt the user for OTP verification. This overrides the user's notification fatigue ratio and engagement history, which suggests they are not in need of urgent notifications.",0.89,message_0023;message_0056;message_0045;message_0369;message_0235
msg_070,mute,scam,The message contains suspicious language and a prompt to take action without following established security protocols.,0.89,message_0023;message_0045;message_0199;message_0085;message_0195
